0,0,0,0,NaN
0,0,0,1,NaN
0,0,1,0,NaN
0,0,1,1,NaN
0,0,2,0,NaN
0,0,2,1,NaN
0,0,3,0,NaN
0,0,3,1,NaN
0,1,0,0,7.13579784743995E-14
0,1,0,1,7.135797847453421E-14
0,1,1,0,7.073391266093014E-14
0,1,1,1,3.1485465469419386E-13
0,1,2,0,NaN
0,1,2,1,NaN
0,1,3,0,7.135810334089528E-14
0,1,3,1,3.1499684781685617E-13
0,2,0,0,NaN
0,2,0,1,NaN
0,2,1,0,NaN
0,2,1,1,NaN
0,2,2,0,NaN
0,2,2,1,NaN
0,2,3,0,NaN
0,2,3,1,NaN
0,3,0,0,NaN
0,3,0,1,NaN
0,3,1,0,NaN
0,3,1,1,NaN
0,3,2,0,NaN
0,3,2,1,NaN
0,3,3,0,NaN
0,3,3,1,NaN
0,4,0,0,NaN
0,4,0,1,NaN
0,4,1,0,NaN
0,4,1,1,NaN
0,4,2,0,NaN
0,4,2,1,NaN
0,4,3,0,NaN
0,4,3,1,NaN
0,5,0,0,NaN
0,5,0,1,NaN
0,5,1,0,NaN
0,5,1,1,NaN
0,5,2,0,NaN
0,5,2,1,NaN
0,5,3,0,NaN
0,5,3,1,NaN
0,6,0,0,NaN
0,6,0,1,NaN
0,6,1,0,NaN
0,6,1,1,NaN
0,6,2,0,NaN
0,6,2,1,NaN
0,6,3,0,NaN
0,6,3,1,NaN
0,7,0,0,NaN
0,7,0,1,NaN
0,7,1,0,NaN
0,7,1,1,NaN
0,7,2,0,NaN
0,7,2,1,NaN
0,7,3,0,NaN
0,7,3,1,NaN
0,8,0,0,NaN
0,8,0,1,NaN
0,8,1,0,NaN
0,8,1,1,NaN
0,8,2,0,NaN
0,8,2,1,NaN
0,8,3,0,NaN
0,8,3,1,NaN
0,9,0,0,NaN
0,9,0,1,NaN
0,9,1,0,NaN
0,9,1,1,NaN
0,9,2,0,NaN
0,9,2,1,NaN
0,9,3,0,1.4709909264680502E-13
0,9,3,1,5.973040980642844E-13
1,0,0,0,NaN
1,0,0,1,NaN
1,0,1,0,NaN
1,0,1,1,NaN
1,0,2,0,NaN
1,0,2,1,NaN
1,0,3,0,NaN
1,0,3,1,NaN
1,1,0,0,NaN
1,1,0,1,NaN
1,1,1,0,9.746494364660839E-14
1,1,1,1,3.9239904850950756E-13
1,1,2,0,NaN
1,1,2,1,NaN
1,1,3,0,9.746189528135704E-14
1,1,3,1,3.9253277244099296E-13
1,2,0,0,1.2841291163912344E-13
1,2,0,1,5.744838828233772E-13
1,2,1,0,1.2841226197781353E-13
1,2,1,1,5.743392083475068E-13
1,2,2,0,NaN
1,2,2,1,NaN
1,2,3,0,1.2841293153977386E-13
1,2,3,1,5.744842341736415E-13
1,3,0,0,NaN
1,3,0,1,NaN
1,3,1,0,NaN
1,3,1,1,NaN
1,3,2,0,NaN
1,3,2,1,NaN
1,3,3,0,NaN
1,3,3,1,NaN
1,4,0,0,NaN
1,4,0,1,NaN
1,4,1,0,NaN
1,4,1,1,NaN
1,4,2,0,NaN
1,4,2,1,NaN
1,4,3,0,NaN
1,4,3,1,NaN
1,5,0,0,NaN
1,5,0,1,NaN
1,5,1,0,NaN
1,5,1,1,NaN
1,5,2,0,NaN
1,5,2,1,NaN
1,5,3,0,NaN
1,5,3,1,NaN
1,6,0,0,NaN
1,6,0,1,NaN
1,6,1,0,NaN
1,6,1,1,NaN
1,6,2,0,NaN
1,6,2,1,NaN
1,6,3,0,NaN
1,6,3,1,NaN
1,7,0,0,NaN
1,7,0,1,NaN
1,7,1,0,NaN
1,7,1,1,NaN
1,7,2,0,NaN
1,7,2,1,NaN
1,7,3,0,NaN
1,7,3,1,NaN
1,8,0,0,NaN
1,8,0,1,NaN
1,8,1,0,NaN
1,8,1,1,NaN
1,8,2,0,NaN
1,8,2,1,NaN
1,8,3,0,1.423315711216037E-13
1,8,3,1,6.193055999976178E-13
1,9,0,0,NaN
1,9,0,1,NaN
1,9,1,0,NaN
1,9,1,1,NaN
1,9,2,0,NaN
1,9,2,1,NaN
1,9,3,0,NaN
1,9,3,1,NaN
2,0,0,0,NaN
2,0,0,1,NaN
2,0,1,0,NaN
2,0,1,1,NaN
2,0,2,0,NaN
2,0,2,1,NaN
2,0,3,0,NaN
2,0,3,1,NaN
2,1,0,0,NaN
2,1,0,1,NaN
2,1,1,0,1.053282262161621E-13
2,1,1,1,4.1273309247446373E-13
2,1,2,0,NaN
2,1,2,1,NaN
2,1,3,0,1.0532982588545702E-13
2,1,3,1,4.128644251032661E-13
2,2,0,0,NaN
2,2,0,1,NaN
2,2,1,0,NaN
2,2,1,1,NaN
2,2,2,0,NaN
2,2,2,1,NaN
2,2,3,0,NaN
2,2,3,1,NaN
2,3,0,0,1.3873816763637238E-13
2,3,0,1,5.615394590729308E-13
2,3,1,0,1.38733144892615E-13
2,3,1,1,5.533321422311538E-13
2,3,2,0,NaN
2,3,2,1,NaN
2,3,3,0,1.3873814285235E-13
2,3,3,1,5.615401827370196E-13
